Match Number,Round Number,Date Time - BST,Local Time,Location,Home Team,Away Team,Group,Home Goals,Away Goals,Home Points,Away Points,,,Local Time,
1,1,11/06/2026 20:00,11/06/2026 16:00,Mexico City Stadium,Mexico,South Africa,Group A,,,,,,,11/06/2026 16:00,(UTC-6)
2,1,12/06/2026 03:00,11/06/2026 20:00,Guadalajara Stadium,South Korea,Czech Republic,Group A,,,,,,,11/06/2026 20:00,(UTC-6)
3,1,12/06/2026 20:00,12/06/2026 15:00,Toronto Stadium,Canada,Bosnia and Herzegovina,Group B,,,,,,,12/06/2026 15:00,(UTC-4)
4,1,13/06/2026 02:00,12/06/2026 18:00,Los Angeles Stadium,United States,Paraguay,Group D,,,,,,,12/06/2026 18:00,(UTC-7)
8,1,13/06/2026 20:00,13/06/2026 12:00,San Francisco Bay Area Stadium,Qatar,Switzerland,Group B,,,,,,,13/06/2026 12:00,(UTC-7)
7,1,13/06/2026 23:00,13/06/2026 18:00,New York/New Jersey Stadium,Brazil,Morocco,Group C,,,,,,,13/06/2026 18:00,(UTC-4)
5,1,14/06/2026 02:00,13/06/2026 21:00,Boston Stadium,Haiti,Scotland,Group C,,,,,,,13/06/2026 21:00,(UTC-4)
6,1,14/06/2026 05:00,13/06/2026 21:00,BC Place Vancouver,Australia,Turkey,Group D,,,,,,,13/06/2026 21:00,(UTC-7)
10,1,14/06/2026 18:00,14/06/2026 12:00,Houston Stadium,Germany,Curaçao,Group E,,,,,,,14/06/2026 12:00,(UTC-5)
11,1,14/06/2026 21:00,14/06/2026 15:00,Dallas Stadium,Netherlands,Japan,Group F,,,,,,,14/06/2026 15:00,(UTC-5)
9,1,15/06/2026 00:00,14/06/2026 19:00,Philadelphia Stadium,Ivory Coast,Ecuador,Group E,,,,,,,14/06/2026 19:00,(UTC-4)
12,1,15/06/2026 03:00,14/06/2026 20:00,Monterrey Stadium,Sweden,Tunisia,Group F,,,,,,,14/06/2026 20:00,(UTC-6)
14,1,15/06/2026 17:00,15/06/2026 12:00,Atlanta Stadium,Spain,Cape Verde,Group H,,,,,,,15/06/2026 12:00,(UTC-4)
16,1,15/06/2026 20:00,15/06/2026 12:00,Seattle Stadium,Belgium,Egypt,Group G,,,,,,,15/06/2026 12:00,(UTC-7)
13,1,15/06/2026 23:00,15/06/2026 18:00,Miami Stadium,Saudi Arabia,Uruguay,Group H,,,,,,,15/06/2026 18:00,(UTC-4)
15,1,16/06/2026 02:00,15/06/2026 21:00,Los Angeles Stadium,Iran,New Zealand,Group G,,,,,,,15/06/2026 21:00,(UTC-4)
17,1,16/06/2026 20:00,16/06/2026 15:00,New York/New Jersey Stadium,France,Senegal,Group I,,,,,,,16/06/2026 15:00,(UTC-4)
18,1,16/06/2026 23:00,16/06/2026 18:00,Boston Stadium,Iraq,Norway,Group I,,,,,,,16/06/2026 18:00,(UTC-4)
19,1,17/06/2026 02:00,16/06/2026 20:00,Kansas City Stadium,Argentina,Algeria,Group J,,,,,,,16/06/2026 20:00,(UTC-5)
20,1,17/06/2026 05:00,16/06/2026 21:00,San Francisco Bay Area Stadium,Austria,Jordan,Group J,,,,,,,16/06/2026 21:00,(UTC-7)
23,1,17/06/2026 18:00,17/06/2026 12:00,Houston Stadium,Portugal,DR Congo,Group K,,,,,,,17/06/2026 12:00,(UTC-5)
22,1,17/06/2026 21:00,17/06/2026 15:00,Dallas Stadium,England,Croatia,Group L,,,,,,,17/06/2026 15:00,(UTC-5)
21,1,18/06/2026 00:00,17/06/2026 19:00,Toronto Stadium,Ghana,Panama,Group L,,,,,,,17/06/2026 19:00,(UTC-4)
24,1,18/06/2026 03:00,17/06/2026 20:00,Mexico City Stadium,Uzbekistan,Colombia,Group K,,,,,,,17/06/2026 20:00,(UTC-5)
25,2,18/06/2026 17:00,18/06/2026 12:00,Atlanta Stadium,Czech Republic,South Africa,Group A,,,,,,,18/06/2026 12:00,(UTC-4)
26,2,18/06/2026 20:00,18/06/2026 12:00,Los Angeles Stadium,Switzerland,Bosnia and Herzegovina,Group B,,,,,,,18/06/2026 12:00,(UTC-7)
27,2,18/06/2026 23:00,18/06/2026 15:00,BC Place Vancouver,Canada,Qatar,Group B,,,,,,,18/06/2026 15:00,(UTC-7)
28,2,19/06/2026 02:00,18/06/2026 19:00,Guadalajara Stadium,Mexico,South Korea,Group A,,,,,,,18/06/2026 19:00,(UTC-6)
32,2,19/06/2026 20:00,19/06/2026 12:00,Seattle Stadium,United States,Australia,Group D,,,,,,,19/06/2026 12:00,(UTC-7)
30,2,19/06/2026 23:00,19/06/2026 18:00,Boston Stadium,Scotland,Morocco,Group C,,,,,,,19/06/2026 18:00,(UTC-4)
29,2,20/06/2026 02:00,19/06/2026 21:00,Philadelphia Stadium,Brazil,Haiti,Group C,,,,,,,19/06/2026 21:00,(UTC-4)
31,2,20/06/2026 05:00,19/06/2026 21:00,San Francisco Bay Area Stadium,Turkey,Paraguay,Group D,,,,,,,19/06/2026 21:00,(UTC-7)
35,2,20/06/2026 18:00,20/06/2026 12:00,Houston Stadium,Netherlands,Sweden,Group F,,,,,,,20/06/2026 12:00,(UTC-5)
33,2,20/06/2026 21:00,20/06/2026 16:00,Toronto Stadium,Germany,Ivory Coast,Group E,,,,,,,20/06/2026 16:00,(UTC-4)
34,2,21/06/2026 01:00,20/06/2026 18:00,Kansas City Stadium,Ecuador,Curaçao,Group E,,,,,,,20/06/2026 18:00,(UTC-5)
36,2,21/06/2026 05:00,20/06/2026 20:00,Monterrey Stadium,Tunisia,Japan,Group F,,,,,,,20/06/2026 20:00,(UTC-6)
38,2,21/06/2026 17:00,21/06/2026 12:00,Atlanta Stadium,Spain,Saudi Arabia,Group H,,,,,,,21/06/2026 12:00,(UTC-4)
