fetched_at,match_id,kickoff_utc,home_team,away_team,bookmaker_count,implied_p_home,implied_p_draw,implied_p_away,best_odds_home,best_odds_draw,best_odds_away
2026-06-20 11:42:57.373890 UTC,aa3996a78766aa68b2a9c0baff2b58af,2026-06-11 20:00:00.000000 UTC,Mexico,South Africa,35,0.6765,0.2165,0.107,1.44,4.5,9.1
2026-06-20 11:42:57.373890 UTC,278a71c26b927b340899cb9c8a3ef4b0,2026-06-12 03:00:00.000000 UTC,South Korea,Czech Republic,35,0.3699,0.3075,0.3226,2.66,3.2,3.05
2026-06-20 11:42:57.373890 UTC,11eb949d29fdff1b31f16237b3b234b2,2026-06-12 20:00:00.000000 UTC,Canada,Bosnia & Herzegovina,35,0.5245,0.2733,0.2022,1.85,3.55,4.8
2026-06-20 11:42:57.373890 UTC,c42cc4703c6cdd5ae5762d991f69bdcd,2026-06-13 02:00:00.000000 UTC,USA,Paraguay,35,0.4703,0.2863,0.2434,2.07,3.4,4
2026-06-20 11:42:57.373890 UTC,532e507f5d543166ccbd80d38c9c9240,2026-06-13 20:00:00.000000 UTC,Qatar,Switzerland,35,0.0581,0.1318,0.8101,17,7.5,1.22
2026-06-20 11:42:57.373890 UTC,5edd628ad136c4749742c80c99f901fc,2026-06-13 23:00:00.000000 UTC,Brazil,Morocco,35,0.5647,0.263,0.1723,1.77,3.8,5.8
2026-06-20 11:42:57.373890 UTC,a82c6ad6c400f2e35063d411d7a06d8b,2026-06-14 02:00:00.000000 UTC,Haiti,Scotland,35,0.1683,0.2196,0.6121,6,4.6,1.65
2026-06-20 11:42:57.373890 UTC,6c2a99721e1c7fbd096750ae971e6b71,2026-06-14 05:00:00.000000 UTC,Australia,Turkey,35,0.1734,0.2555,0.5711,5.6,3.8,1.7
2026-06-20 11:42:57.373890 UTC,2858e0df293a96412fadbbd1e15e379e,2026-06-14 18:00:00.000000 UTC,Germany,Curacao,35,0.9477,0.0383,0.014,1.05,26,71
2026-06-20 11:42:57.373890 UTC,05a50bd40982148f1d82f88e1d51a5fd,2026-06-14 21:00:00.000000 UTC,Netherlands,Japan,35,0.4773,0.2755,0.2472,2.02,3.5,3.9
2026-06-20 11:42:57.373890 UTC,48e8370691918d4fbbcb81914c1c8e00,2026-06-15 00:00:00.000000 UTC,Ivory Coast,Ecuador,35,0.2919,0.326,0.382,3.35,3,2.56
2026-06-20 11:42:57.373890 UTC,37ff777adf56ddcb1ce74ffe2c5c8cbf,2026-06-15 03:00:00.000000 UTC,Sweden,Tunisia,35,0.5081,0.2777,0.2143,1.94,3.55,4.6
2026-06-20 11:42:57.373890 UTC,c9a7e21bb82f6dbd5ae683d49b49c2d9,2026-06-15 17:00:00.000000 UTC,Spain,Cape Verde,35,0.8985,0.0706,0.0309,1.1,14,32
2026-06-20 11:42:57.373890 UTC,7babd3a604dadc0baf5c635e776e4720,2026-06-15 20:00:00.000000 UTC,Belgium,Egypt,35,0.6279,0.2293,0.1429,1.57,4.3,6.9
2026-06-20 11:42:57.373890 UTC,1fc0de99b7812127d02c4284fbed947a,2026-06-15 23:00:00.000000 UTC,Saudi Arabia,Uruguay,35,0.1217,0.2291,0.6492,8,4.25,1.5
2026-06-20 11:42:57.373890 UTC,529cb5d5be0dc249b8245974ab484af4,2026-06-16 02:00:00.000000 UTC,Iran,New Zealand,35,0.524,0.28,0.196,1.87,3.5,5
2026-06-20 11:42:57.373890 UTC,e880649486954f00aaed4cb1f638bb4b,2026-06-16 20:00:00.000000 UTC,France,Senegal,35,0.6472,0.2162,0.1366,1.52,4.55,7.2
2026-06-20 11:42:57.373890 UTC,bb40f0c45856635d1b37c322f08d988f,2026-06-16 23:00:00.000000 UTC,Iraq,Norway,35,0.0662,0.1325,0.8013,15,7.5,1.24
2026-06-20 11:42:57.373890 UTC,6c57805080a3f1166e7b602f2cc581bb,2026-06-17 02:00:00.000000 UTC,Argentina,Algeria,35,0.63,0.2325,0.1375,1.55,4.2,7.1
2026-06-20 11:42:57.373890 UTC,adbf319df76a42973cc2ca877d43416a,2026-06-17 05:00:00.000000 UTC,Austria,Jordan,35,0.6926,0.202,0.1054,1.4,4.8,9.2
2026-06-20 11:42:57.373890 UTC,41b65f7a57ec7123a02cdc5eb20533dc,2026-06-17 18:00:00.000000 UTC,Portugal,D.R. Congo,35,0.7561,0.1626,0.0813,1.29,6,12
2026-06-20 11:42:57.373890 UTC,072bb686973a5d076df96e45038fe841,2026-06-17 21:00:00.000000 UTC,England,Croatia,35,0.5778,0.2489,0.1733,1.68,3.9,5.6
2026-06-20 11:42:57.373890 UTC,6c3091f4b09dcbef6adddaaf2ff8f3a1,2026-06-18 00:00:00.000000 UTC,Ghana,Panama,35,0.4104,0.3006,0.289,2.38,3.25,3.38
2026-06-20 11:42:57.373890 UTC,f2d4f62b7c6b32fade53213128e16a2d,2026-06-18 03:00:00.000000 UTC,Uzbekistan,Colombia,35,0.0871,0.1821,0.7309,11.5,5.5,1.37
2026-06-20 11:42:57.373890 UTC,,2026-06-18 17:00:00.000000 UTC,Czech Republic,South Africa,,,,,,,
2026-06-20 11:42:57.373890 UTC,,2026-06-18 20:00:00.000000 UTC,Switzerland,Bosnia and Herzegovina,,,,,,,
2026-06-20 11:42:57.373890 UTC,,2026-06-18 23:00:00.000000 UTC,Canada,Qatar,,,,,,,
2026-06-20 11:42:57.373890 UTC,,2026-06-19 02:00:00.000000 UTC,Mexico,South Korea,,,,,,,
2026-06-20 11:42:57.373890 UTC,,2026-06-19 20:00:00.000000 UTC,United States,Australia,,,,,,,
