team,player_name,position,status,notes,effective_from
Argentina,Lionel Messi,FW,available,,2026-06-01
France,Kylian Mbappé,FW,available,,2026-06-01
England,Jude Bellingham,MF,available,,2026-06-01
England,Harry Kane,FW,available,,2026-06-01
Brazil,Vinicius Jr,FW,available,,2026-06-01
Brazil,Rodrygo,FW,available,,2026-06-01
Portugal,Cristiano Ronaldo,FW,available,,2026-06-01
Spain,Pedri,MF,available,,2026-06-01
Spain,Lamine Yamal,FW,available,,2026-06-01
Germany,Florian Wirtz,MF,available,,2026-06-01
Netherlands,Virgil van Dijk,DF,available,,2026-06-01
